title,author,description,target,isbn13
destroyer angel,Nevada Barr,national park service ranger anna pigeon must rescue friends kidnapped camping minnesota,destroyer angel national park service ranger anna pigeon must rescue friends kidnapped camping minnesota,9780312614584
power play,Danielle Steel,two ceos — man woman — face different challenges,power play two ceos — man woman — face different challenges,9780345530912
be careful what you wish for,Jeffrey Archer,clifton chronicles reach 1960s fourth volume series,be careful what you wish for clifton chronicles reach 1960s fourth volume series,9781250034489
warriors,Ted Bell,counterspy alex hawke must rescue kidnapped scientist,warriors counterspy alex hawke must rescue kidnapped scientist,9780062279385
blossom street brides,Debbie Macomber,three women’s lives intersect around seattle knitting store blossom street novel,blossom street brides three women’s lives intersect around seattle knitting store blossom street novel,9780345528841
words of radiance,Brandon Sanderson,second book stormlight archive fantasy epic set world roshar,words of radiance second book stormlight archive fantasy epic set world roshar,9780765326362
frog music,Emma Donoghue,murder mystery set san francisco 1876 city grip smallpox epidemic heat wave,frog music murder mystery set san francisco 1876 city grip smallpox epidemic heat wave,9780316324687
cavendon hall,Barbara Taylor Bradford,edwardian england aristocratic family family serve share ancestral home,cavendon hall edwardian england aristocratic family family serve share ancestral home,9781250032355
sycamore row,John Grisham,sequel race inheritance “a time kill”,sycamore row sequel race inheritance “a time kill”,9780385537131
william shakespeare's the empire striketh back,Ian Doescher,’tis rebellion dark time “star wars” part v iambic pentameter,william shakespeare's the empire striketh back ’tis rebellion dark time “star wars” part v iambic pentameter,9781594747151
gone girl,Gillian Flynn,woman disappears missouri home fifth anniversary bitter oddly evasive husband killer,gone girl woman disappears missouri home fifth anniversary bitter oddly evasive husband killer,9780307588364
the auschwitz escape,Joel C Rosenberg,heroic flight nazis,the auschwitz escape heroic flight nazis,9781414336244
don't hurt people and don't take their stuff,Matt Kibbe,libertarian manifesto president ceo freedomworks,don't hurt people and don't take their stuff libertarian manifesto president ceo freedomworks,9780062308252
the women of duck commander,Kay Robertson and others with Beth Clarkl,kay korie missy jessica lisa robertson wives ae show “duck dynasty” discuss marriages families faith,the women of duck commander kay korie missy jessica lisa robertson wives ae show “duck dynasty” discuss marriages families faith,9781476763309
john wayne,Scott Eyman,biography movie star surveys life death legend,john wayne biography movie star surveys life death legend,9781439199589
the promise of a pencil,Adam Braun with Carlye Adler,man left wall streeet found nonprofit built 200 schools around world discusses people find significant work achieve potential,the promise of a pencil man left wall streeet found nonprofit built 200 schools around world discusses people find significant work achieve potential,9781476730622
things that matter,Charles Krauthammer,three decades’ worth essays conservative columnist,things that matter three decades’ worth essays conservative columnist,9780385349178
the story of the jews,Simon Schama,first volume cultural history tiein pbs series covers years 1000 bc 1492 ad,the story of the jews first volume cultural history tiein pbs series covers years 1000 bc 1492 ad,9780060539184
the future of the mind,Michio Kaku,theoretical physicist examines research points day uploading memories possible,the future of the mind theoretical physicist examines research points day uploading memories possible,9780385530828
duty,Robert M Gates,former defense secretary recounts experience serving presidents bush obama wars iraq afghanistan,duty former defense secretary recounts experience serving presidents bush obama wars iraq afghanistan,9780307959478
tempting fate,Jane Green,happily married middleaged woman drawn another man,tempting fate happily married middleaged woman drawn another man,9780312591847
stone cold,C J Box,joe pickett wyoming game warden special assistant governor investigates mysterious wealthy rancher,stone cold joe pickett wyoming game warden special assistant governor investigates mysterious wealthy rancher,9780399160769
the bootlegger,Clive Cussler and Justin Scott,early20thcentury detective isaac bell tracks wideranging international criminal enterprise,the bootlegger early20thcentury detective isaac bell tracks wideranging international criminal enterprise,9780399167294
raising steam,Terry Pratchett,discworld fantasy set ankhmorpork moist van lipwig put charge powerful new machine,raising steam discworld fantasy set ankhmorpork moist van lipwig put charge powerful new machine,9780385538268
night broken,Patricia Briggs,exwife adam mate shape shifter mercy thompson wants back,night broken exwife adam mate shape shifter mercy thompson wants back,9780425256749
still life with bread crumbs,Anna Quindlen,aging photographer rents rural cottage discovers sparks creativity desire,still life with bread crumbs aging photographer rents rural cottage discovers sparks creativity desire,9781400065752
still life with bread crumbs,Anna Quindlen,aging photographer rents rural cottage discovers sparks creativity desire,still life with bread crumbs aging photographer rents rural cottage discovers sparks creativity desire,9781400065752
america the beautiful,Ben C Carson and Candy Carson,vision nations future informed view past,america the beautiful vision nations future informed view past,9780310330912
unlikely loves,Jennifer Holland,remarkable stories attachment species,unlikely loves remarkable stories attachment species,9780761174424
jesus > religion,Jefferson Bethke,thoughts faith author video poem hate religion love jesus,jesus > religion thoughts faith author video poem hate religion love jesus,9781400205394
american sniper,Chris Kyle with Scott McEwen and Jim DeFelice,memoir iraq war navy seals sniper killed texas,american sniper memoir iraq war navy seals sniper killed texas,9780062238863
lone survivor,Marcus Luttrell with Patrick Robinson,harrowing navy seals operation,lone survivor harrowing navy seals operation,9780316044691
thomas jefferson,Jon Meacham,pulitzer prizewinning journalist celebrates jefferson’s skills practical politician,thomas jefferson pulitzer prizewinning journalist celebrates jefferson’s skills practical politician,9780812979480
the world until yesterday,Jared Diamond,author “guns germs steel” examines learn traditional societies,the world until yesterday author “guns germs steel” examines learn traditional societies,9780143124405
when will the heaven begin?,Ally Breedlove with Ken Abraham,sister remembers visions heaven experienced brother died 18,when will the heaven begin? sister remembers visions heaven experienced brother died 18,9780451468154
mirage,Clive Cussler with Jack Du Brul,juan cabrillo crew oregon probe disappearance american destroyer 1943,mirage juan cabrillo crew oregon probe disappearance american destroyer 1943,9780399158087
the valley of amazement,Amy Tan,author “the joy luck club” follows mother daughter courtesans four decades,the valley of amazement author “the joy luck club” follows mother daughter courtesans four decades,9780062107312
the minor adjustment beauty salon,Alexander McCall Smith,14th installment 1 ladies’ detective agency series,the minor adjustment beauty salon 14th installment 1 ladies’ detective agency series,9780307378415
the all-girl filling station's last reunion,Fannie Flagg,southern woman’s search secrets mother’s past leads gas station run four girls midwest world war ii,the all-girl filling station's last reunion southern woman’s search secrets mother’s past leads gas station run four girls midwest world war ii,9781400065943
doctor sleep,Stephen King,grown dan boy psychointuitive powers “the shining” helps another threatened child gift,doctor sleep grown dan boy psychointuitive powers “the shining” helps another threatened child gift,9781476727653
the longest ride,Nicholas Sparks,lives two couples converge unexpectedly,the longest ride lives two couples converge unexpectedly,9781455520657
winners,Danielle Steel,six people intertwined lives struggle surmount challenges,winners six people intertwined lives struggle surmount challenges,9780385343220
s.,Doug Dorst,project conceived writer director jj abrams facsimile novel published 1949 contains marginal annotations various objects two annotators begin decode novels mystery,s. project conceived writer director jj abrams facsimile novel published 1949 contains marginal annotations various objects two annotators begin decode novels mystery,9780316201643
we are water,Wally Lamb,marry woman gallery owner divorced artist mother must confront secrets past,we are water marry woman gallery owner divorced artist mother must confront secrets past,9780061941023
identical,Scott Turow,paul giannis running mayor kindle county accused played role murder twin brothers girlfriend,identical paul giannis running mayor kindle county accused played role murder twin brothers girlfriend,9781455527205
aimless love,Billy Collins,50 new poems well selections previous books twoterm poet laureate united states,aimless love 50 new poems well selections previous books twoterm poet laureate united states,9780679644057
accused,Lisa Scottoline,mary dinunzio partner allwomen philadelphia law firm rosato associates,accused mary dinunzio partner allwomen philadelphia law firm rosato associates,9781250027658
the signature of all things,Elizabeth Gilbert,19thcentury botanist’s love knowledge takes tahiti author “eat pray love”,the signature of all things 19thcentury botanist’s love knowledge takes tahiti author “eat pray love”,9780670024858
inferno,Dan Brown,symbologist robert langdon run florence must decipher series codes created danteloving scientist,inferno symbologist robert langdon run florence must decipher series codes created danteloving scientist,9780385537858
the lowland,Jhumpa Lahiri,radical brother killed indian scientist brings widow join america,the lowland radical brother killed indian scientist brings widow join america,9780307265746
storm front,John Sandford,minnesota investigator virgil flowers becomes involved hunt ancient inscribed stone,storm front minnesota investigator virgil flowers becomes involved hunt ancient inscribed stone,9780399159305
after dead,Charlaine Harris,coda sookie stackhouse novels inspired “true blood”,after dead coda sookie stackhouse novels inspired “true blood”,9780425269510
starry night,Debbie Macomber,christmastime bigcity societypage columnist sets interview notoriously reclusive author alaska,starry night christmastime bigcity societypage columnist sets interview notoriously reclusive author alaska,9780345528896
double down,Mark Halperin and John Heilemann,insider reporting election 2012 authors “game change”,double down insider reporting election 2012 authors “game change”,9781594204401
the bully pulpit,Doris Kearns Goodwin,pulitzer prizewinning historian author “team rivals political genius abraham lincoln” turns attention early 20th century focuses relationship theodore roosevelt william howard taft friends later rivals activities muckraking press,the bully pulpit pulitzer prizewinning historian author “team rivals political genius abraham lincoln” turns attention early 20th century focuses relationship theodore roosevelt william howard taft friends later rivals activities muckraking press,9781416547860
the death of santini,Pat Conroy,memoir conroy mourns abusive father “the great santini” based,the death of santini memoir conroy mourns abusive father “the great santini” based,9780385530903
george washington's secret six,Brian Kilmeade and Don Yaeger,story culper spy ring aided american cause revolution,george washington's secret six story culper spy ring aided american cause revolution,9781595231031
40 chances,Howard G Buffett and Howard W Buffett,warren buffett’s son grandson learned efforts feed hungry,40 chances warren buffett’s son grandson learned efforts feed hungry,9781451687866
si-cology 1,Si Robertson with Mark Schlabach,tales phil’s youngest brother works duck commander workshop,si-cology 1 tales phil’s youngest brother works duck commander workshop,9781476745374
johnny carson,Henry Bushkin,recollection carsons lawyer confidant 18 years,johnny carson recollection carsons lawyer confidant 18 years,9780544217621
the reason i jump,Naoki Higashida,13yearold boy autism answers questions,the reason i jump 13yearold boy autism answers questions,9780812994865
history decoded,Brad Meltzer with Keith Ferrell,ten historical mysteries based history channel show “brad meltzer’s decoded”,history decoded ten historical mysteries based history channel show “brad meltzer’s decoded”,9780761177456
an astronaut's guide to life on earth,Chris Hadfield,decades education nasa outer space provide adrenalinefilled anecdotes,an astronaut's guide to life on earth decades education nasa outer space provide adrenalinefilled anecdotes,9780316253017
an astronaut's guide to life on earth,Chris Hadfield,decades education nasa outer space provide adrenalinefilled anecdotes,an astronaut's guide to life on earth decades education nasa outer space provide adrenalinefilled anecdotes,9780316253017
one summer,Bill Bryson,events summer 1927 charles lindbergh’s transatlantic flight babe ruth’s 60 homers great mississippi flood,one summer events summer 1927 charles lindbergh’s transatlantic flight babe ruth’s 60 homers great mississippi flood,9780767919401
my story,Elizabeth Smart with Chris Stewart,woman kidnapped utah home 2002 age 14 describes captivity rescue,my story woman kidnapped utah home 2002 age 14 describes captivity rescue,9781250040152
orr,Bob Orr,hockey star’s memoir,orr hockey star’s memoir,9780399161759
the monuments men,Robert M Edsel with Bret Witter,following allied group recovered stolen artworks nazis,the monuments men following allied group recovered stolen artworks nazis,9780316240055
blink,Malcolm Gladwell,importance hunch instinct,blink importance hunch instinct,9780316010665
fifteen minutes,Karen Kingsbury,fame turns head contestant reality tv show regain important life,fifteen minutes fame turns head contestant reality tv show regain important life,9781451647051
the luminaries,Eleanor Catton,murder mystery set 19thcentury new zealand winner 2013 man booker prize,the luminaries murder mystery set 19thcentury new zealand winner 2013 man booker prize,9780316074315
the circle,Dave Eggers,dystopian novel life powerful internet company,the circle dystopian novel life powerful internet company,9780385351393
gone,James Patterson and Michael Ledwidge,detective michael bennett living 10 adopted children california farm pursued head mexican drug cartel put jail,gone detective michael bennett living 10 adopted children california farm pursued head mexican drug cartel put jail,9780316210980
just one evil act,Elizabeth George,18th inspector lynley novel lynley’s partner barbara havers searches friend’s kidnapped child italy,just one evil act 18th inspector lynley novel lynley’s partner barbara havers searches friend’s kidnapped child italy,9780525952961
crash and burn,Artie Lange with Anthony Bozza,comedian describes experience depression addiction recovery,crash and burn comedian describes experience depression addiction recovery,9781476765112
a cruel and shocking act,Philip Shenon,journalist argues fbi cia others withheld information kennedy’s assassination warren commission,a cruel and shocking act journalist argues fbi cia others withheld information kennedy’s assassination warren commission,9780805094206
pure joy,Danielle Steel,appreciation dogs steels life,pure joy appreciation dogs steels life,9780345543752
extortion,Peter Schweizer,hoover institution fellow argues politicians shape legislation order extract donations,extortion hoover institution fellow argues politicians shape legislation order extract donations,9780544103344
the ocean at the end of the lane,Neil Gaiman,middleaged man recalls lonely boyhood friendship remarkable girl,the ocean at the end of the lane middleaged man recalls lonely boyhood friendship remarkable girl,9780062255655
and the mountains echoed,Khaled Hosseini,multigenerational family saga centers brother sister born afghanistan author “the kite runner”,and the mountains echoed multigenerational family saga centers brother sister born afghanistan author “the kite runner”,9781594631764
bad monkey,Carl Hiaasen,defrocked miami cop turned restaurant inspector investigates grisly murder,bad monkey defrocked miami cop turned restaurant inspector investigates grisly murder,9780307272591
the heist,Janet Evanovich and Lee Goldberg,first book new series kate o’hare fbi special agent teams nicolas fox handsome con man catch corrupt investment banker hiding,the heist first book new series kate o’hare fbi special agent teams nicolas fox handsome con man catch corrupt investment banker hiding,9780345543042
the silver star,Jeannette Walls,irresponsible mother takes 12yearold california girl sister join rest family virginia,the silver star irresponsible mother takes 12yearold california girl sister join rest family virginia,9781451661507
the 9th girl,Tami Hoag,two minneapolis detectives try discover identity city’s ninth unidentified female murder victim year,the 9th girl two minneapolis detectives try discover identity city’s ninth unidentified female murder victim year,9780525952978
the last original wife,Dorothea Benton Frank,atlanta woman returns hometown charleston reassess life,the last original wife atlanta woman returns hometown charleston reassess life,9780062132468
revenge wears prada,Lauren Weisberger,andrea sachs running bridal magazine,revenge wears prada andrea sachs running bridal magazine,9781439136638
the eye of moloch,Glenn Beck,continuing fight save america begun “the overton window”,the eye of moloch continuing fight save america begun “the overton window”,9781451635836
the king's deception,Steve Berry,exgovernment operative cotton malone stumbles upon cia operation attempting call question legitimacy elizabeth i’s reign conquest ireland,the king's deception exgovernment operative cotton malone stumbles upon cia operation attempting call question legitimacy elizabeth i’s reign conquest ireland,9780345526540
the son,Philipp Meyer,150 years texas family comanche raids present rise money power cattle oil industries,the son 150 years texas family comanche raids present rise money power cattle oil industries,9780062120397
the hit,David Baldacci,government hitman robie uncovers serious threat attempts take fellow assassin gone rogue,the hit government hitman robie uncovers serious threat attempts take fellow assassin gone rogue,9781455521210
sweet salt air,Barbara Delinsky,two women good friends estranged come together summer island coast maine,sweet salt air two women good friends estranged come together summer island coast maine,9781250007032
a dance with dragons,George R R Martin,book 5 song ice fire,a dance with dragons book 5 song ice fire,9780553801477
the kill room,Jeffery Deaver,quadriplegic forensics expert lincoln rhyme investigates political assassination united states citizen,the kill room quadriplegic forensics expert lincoln rhyme investigates political assassination united states citizen,9781455517060
transatlantic,Colum McCann,lives real fictional characters frederick douglass george mitchell irish maid woven historical events dublin newfoundland new york,transatlantic lives real fictional characters frederick douglass george mitchell irish maid woven historical events dublin newfoundland new york,9781400069590
ladies' night,Mary Kay Andrews,separating husband lifestyle blogger moves mother attends divorce counseling sessions,ladies' night separating husband lifestyle blogger moves mother attends divorce counseling sessions,9781250019677
zero hour,Clive Cussler and Graham Brown,11th numa files novel kurt austin rest numa team race find machines cause deadly earthquakes,zero hour 11th numa files novel kurt austin rest numa team race find machines cause deadly earthquakes,9780399162503
"happy, happy, happy",Phil Robertson with Mark Schlabach,duck commander pays tribute “faith family ducks”,"happy, happy, happy duck commander pays tribute “faith family ducks”",9781476726090
dad is fat,Jim Gaffigan,life five kids twobedroom new york city apartment,dad is fat life five kids twobedroom new york city apartment,9780385349055
eleven rings,Phil Jackson and Hugh Delehanty,autobiography successful coach led teams 11 nba championships,eleven rings autobiography successful coach led teams 11 nba championships,9781594205118
let's explore diabetes with owls,David Sedaris,essays humorist subjects like french dentistry north carolina costco,let's explore diabetes with owls essays humorist subjects like french dentistry north carolina costco,9780316154697
american gun,Chris Kyle with William Doyle,kyle former member navy seals shot death texas february tells 10 firearms changed united states history,american gun kyle former member navy seals shot death texas february tells 10 firearms changed united states history,9780062242716
darwin's doubt,Stephen C Meyer,theory intelligent design best explains appearance animals fossil record without apparent ancestors,darwin's doubt theory intelligent design best explains appearance animals fossil record without apparent ancestors,9780062071477
killing kennedy,Bill O'Reilly and Martin Dugard,host “the o’reilly factor” recounts events surrounding assassination john f kennedy,killing kennedy host “the o’reilly factor” recounts events surrounding assassination john f kennedy,9780805096668
the unwinding,George Packer,collapse american institutions politics culture replacement organized money,the unwinding collapse american institutions politics culture replacement organized money,9780374102418
the guns at last light,Rick Atkinson,final volume liberation trilogy describes allied victory europe dday german surrender,the guns at last light final volume liberation trilogy describes allied victory europe dday german surrender,9780805062908
duck commanders,Willie and Korie Robertson with Mark Schlabach,behind scenes ae show “duck dynasty”,duck commanders behind scenes ae show “duck dynasty”,9781476703541
keep it pithy,Bill O'Reilly,“highlight reel” previous writings updated host “the o’reilly factor”,keep it pithy “highlight reel” previous writings updated host “the o’reilly factor”,9780385346627
the boys in the boat,Daniel James Brown,university washington’s eightoar crew quest gold 1936 berlin olympics,the boys in the boat university washington’s eightoar crew quest gold 1936 berlin olympics,9780670025817
revolutionary summer,Joseph J Ellis,account fateful summer 1776 weaves political continental congress military continental army,revolutionary summer account fateful summer 1776 weaves political continental congress military continental army,9780307701220
the astronaut wives club,Lily Koppel,wives mercury seven astronauts met regularly mutual support friends 50 years,the astronaut wives club wives mercury seven astronauts met regularly mutual support friends 50 years,9781455503254
mo' meta blues,"Ahmir ""Questlove"" Thompson and Ben Greenman",memoir drummer cofounder roots,mo' meta blues memoir drummer cofounder roots,9781455501359
great degeneration,Niall Ferguson,institutional degeneration lies behind west’s economic stagnation geopolitical decline,great degeneration institutional degeneration lies behind west’s economic stagnation geopolitical decline,9781594205453
tell my sons,Mark M Weber,letters three sons army lieutenant colonel learned stage 4 cancer originally published 2013,tell my sons letters three sons army lieutenant colonel learned stage 4 cancer originally published 2013,9780345549440
cooked,Michael Pollan,celebration braising baking grilling fermenting,cooked celebration braising baking grilling fermenting,9781594204210
control,Glenn Beck and others,argument gun restriction laws,control argument gun restriction laws,9781476739878
the zombie survival guide,Max Brooks,comedy writer offers plan safeguarding living dead,the zombie survival guide comedy writer offers plan safeguarding living dead,9781400049622
the black count,Tom Reiss,biography first alexandre dumas mixedrace general french revolution,the black count biography first alexandre dumas mixedrace general french revolution,9780307382474
drive,Daniel H Pink,look truly motivates us use knowledge work smarter live better,drive look truly motivates us use knowledge work smarter live better,9781594484803
waking up in heaven,Crystal McVea,happened nine minutes unconsciousness,waking up in heaven happened nine minutes unconsciousness,9781476711874
deeply odd,Dean Koontz,odd thomas communicate dead must forestall crime discovering people targeted killer,deeply odd odd thomas communicate dead must forestall crime discovering people targeted killer,9780553807738
silken prey,John Sandford,lucas davenport drawn investigation minnesota political scandal disappearance operative,silken prey lucas davenport drawn investigation minnesota political scandal disappearance operative,9780399159312
12th of never,James Patterson and Maxine Paetro,one week birth baby detective lindsay boxer must return work investigate string grisly murders women’s murder club novel,12th of never one week birth baby detective lindsay boxer must return work investigate string grisly murders women’s murder club novel,9780316210829
dead ever after,Charlaine Harris,shocking murder rocks louisiana town bon temps telepathic waitress sookie stackhouse learns passes truth convenient lie,dead ever after shocking murder rocks louisiana town bon temps telepathic waitress sookie stackhouse learns passes truth convenient lie,9781937007881
collapse of dignity,Napoleon Gomez,head mexican miners’ union describes explosion killed 65 miners 2006 subsequent fight corporate greed political corruption,collapse of dignity head mexican miners’ union describes explosion killed 65 miners 2006 subsequent fight corporate greed political corruption,9781939529220
killing lincoln,Bill O'Reilly and Martin Dugard,television host recounts events surrounding assassination abraham lincoln,killing lincoln television host recounts events surrounding assassination abraham lincoln,9780805093070
killing lincoln,Bill O'Reilly and Martin Dugard,television host recounts events surrounding assassination abraham lincoln,killing lincoln television host recounts events surrounding assassination abraham lincoln,9780805093070
the outsider,Jimmy Connors,memoir bad boy 1970s tennis time world’s topranked probably obnoxious player,the outsider memoir bad boy 1970s tennis time world’s topranked probably obnoxious player,9780061242991
bunker hill,Nathaniel Philbrick,examination battle ignited revolution,bunker hill examination battle ignited revolution,9780670025442
an army at dawn,Rick Atkinson,journalist’s account north african campaigns world war ii,an army at dawn journalist’s account north african campaigns world war ii,9780805087246
the day of battle,Rick Atkinson,american army sicily italy 194344 second volume liberation trilogy,the day of battle american army sicily italy 194344 second volume liberation trilogy,9780805088618
double cross,Ben Macintyre,allies tricked nazis believing dday would attack somewhere normandy,double cross allies tricked nazis believing dday would attack somewhere normandy,9780307888778
my beloved world,Sonia Sotomayor,supreme court justice recalls growing bronx attending princeton working manhattan district attorney’s office becoming federal judge,my beloved world supreme court justice recalls growing bronx attending princeton working manhattan district attorney’s office becoming federal judge,9780307594884
francona,Terry Francona and Dan Shaughnessy,manager’s red sox years,francona manager’s red sox years,9780547928173
going clear,Lawrence Wright,pulitzer prizewinning author examines world scientology,going clear pulitzer prizewinning author examines world scientology,9780307700667
thomas jefferson,Jon Meacham,pulitzer prizewinning biographer celebrates jefferson’s skills practical politician,thomas jefferson pulitzer prizewinning biographer celebrates jefferson’s skills practical politician,9781400067664
no easy day,Mark Owen with Kevin Maurer,account former member navy seals written pseudonymously mission killed bin laden,no easy day account former member navy seals written pseudonymously mission killed bin laden,9780525953722
to sell is human,Daniel H Pink,insights social science move others,to sell is human insights social science move others,9781594487156
a higher call,Adam Makos with Larry Alexander,encounter two pilots skies germany december 1943,a higher call encounter two pilots skies germany december 1943,9780425252864
the world until yesterday,Jared Diamond,author “guns germs steel” examines learn traditional societies,the world until yesterday author “guns germs steel” examines learn traditional societies,9780670024810
my share of the task,Stanley McChrystal,former commander us forces afghanistan retired reviews career,my share of the task former commander us forces afghanistan retired reviews career,9781591844754
the dude and the zen master,Jeff Bridges and Bernie Glassman,actor zen master examine wisdom bridges’s character dude 1998 cult classic “the big lebowski”,the dude and the zen master actor zen master examine wisdom bridges’s character dude 1998 cult classic “the big lebowski”,9780399161643
the power of habit,Charles Duhigg,times reporter’s account science behind form break habits,the power of habit times reporter’s account science behind form break habits,9781400069286
wild,Cheryl Strayed,womans account lifechanging 1100mile hike along pacific crest trail,wild womans account lifechanging 1100mile hike along pacific crest trail,9780307592736
ten years later,Hoda Kotb with Jane Lorenzini,portraits six people undergone personal transformation,ten years later portraits six people undergone personal transformation,9781451656039
how children succeed,Paul Tough,author argues qualities matter character intelligence,how children succeed author argues qualities matter character intelligence,9780547564654
behind the beautiful forevers,Katherine Boo,journalist reports families seeking better lives mumbai slum,behind the beautiful forevers journalist reports families seeking better lives mumbai slum,9781400067558
the signal and the noise,Nate Silver,interdisciplinary guide art science prediction models applied statistics pattern detection explains big data used make predictions ranging likely flu outbreaks earthquakes climate change winning poker hands chess moves baseball teams presidential races,the signal and the noise interdisciplinary guide art science prediction models applied statistics pattern detection explains big data used make predictions ranging likely flu outbreaks earthquakes climate change winning poker hands chess moves baseball teams presidential races,9781594204111
antifragile,Nassim Nicholas Taleb,philosophical essayist author “the black swan” identifies things gain chaos need order survive flourish,antifragile philosophical essayist author “the black swan” identifies things gain chaos need order survive flourish,9781400067824
lady almina and the real downton abbey,The Countess of Carnarvon,inspiration setting show pbs,lady almina and the real downton abbey inspiration setting show pbs,9780770435622
team of rivals,Doris Kearns Goodwin,lincoln’s political genius,team of rivals lincoln’s political genius,9780743270755
an invisible thread,Laura L Schroff,long friendship sales executive destitute boy,an invisible thread long friendship sales executive destitute boy,9781451648973
in the garden of beasts,Erik Larson,william e dodd united states ambassador germany daughter martha 1930s berlin,in the garden of beasts william e dodd united states ambassador germany daughter martha 1930s berlin,9780307408853
half the sky,Nicholas D Kristof and Sheryl WuDunn,women’s equality “paramount moral challenge” era,half the sky women’s equality “paramount moral challenge” era,9780307387097
bossypants,Tina Fey,memoir creator “30 rock”,bossypants memoir creator “30 rock”,9780316056878
tipping point,Malcolm Gladwell,study social epidemics otherwise known fads,tipping point study social epidemics otherwise known fads,9780316346627
kisses from katie,Katie Davis with Beth Clark,young woman gives everything knows care ugandans,kisses from katie young woman gives everything knows care ugandans,9781451612097
the omnivore’s dilemma,Michael Pollan,tracking food soil plate journalist juggles appetite conscience,the omnivore’s dilemma tracking food soil plate journalist juggles appetite conscience,9780143038580
a memory of light,Robert Jordan and Brandon Sanderson,14th final novel wheel time fantasy series,a memory of light 14th final novel wheel time fantasy series,9780765325952
the fifth assassin,Brad Meltzer,tracking assassin recreating crimes four men murdered presidents beecher white discovers working together,the fifth assassin tracking assassin recreating crimes four men murdered presidents beecher white discovers working together,9780446553971
tenth of december,George Saunders,stories take big questions,tenth of december stories take big questions,9780812993806
the third bullet,Stephen Hunter,veteran sniper bob lee swagger investigates assassination john f kennedy,the third bullet veteran sniper bob lee swagger investigates assassination john f kennedy,9781451640205
mrs. lincoln's dressmaker,Jennifer Chiaverini,novel elizabeth keckley born slave earned freedom dressmaking skill became friend mary todd lincoln character movie “lincoln”,mrs. lincoln's dressmaker novel elizabeth keckley born slave earned freedom dressmaking skill became friend mary todd lincoln character movie “lincoln”,9780525953616
the racketeer,John Grisham,imprisoned exlawyer schemes exchange information murdered federal judge freedom,the racketeer imprisoned exlawyer schemes exchange information murdered federal judge freedom,9780385535144
the twelve tribes of hattie,Ayana Mathis,fiftysome years life africanamerican family whose matriarch arrives philadelphia 1923,the twelve tribes of hattie fiftysome years life africanamerican family whose matriarch arrives philadelphia 1923,9780385350280
standing in another man's grave,Ian Rankin,retiring edinburgh police force john rebus investigates case young woman disappeared 1999,standing in another man's grave retiring edinburgh police force john rebus investigates case young woman disappeared 1999,9780316224581
kinsey and me,Sue Grafton,stories grafton’s character kinsey millhone well explorations grafton’s past,kinsey and me stories grafton’s character kinsey millhone well explorations grafton’s past,9780399163838
the forgotten,David Baldacci,military investigator john puller protagonist “zero day” probes aunt’s mysterious death florida,the forgotten military investigator john puller protagonist “zero day” probes aunt’s mysterious death florida,9780446573054
cross roads,Wm Paul Young,comatose businessman encounters jesus holy spirit god author “the shack”,cross roads comatose businessman encounters jesus holy spirit god author “the shack”,9781455516049
collateral damage,Stuart Woods,back new york lawyer stone barrington joins former partner holly barker pursuing dangerous case,collateral damage back new york lawyer stone barrington joins former partner holly barker pursuing dangerous case,9780399159862
the round house,Louise Erdrich,native american family faces ramifications vicious crime,the round house native american family faces ramifications vicious crime,9780062065247
the husband list,Janet Evanovich and Dorien Kelly,new york city 1894 wealthy young woman yearns adventure love irishamerican new money rather titled britons mother hopes marry,the husband list new york city 1894 wealthy young woman yearns adventure love irishamerican new money rather titled britons mother hopes marry,9780312651329
threat vector,Tom Clancy with Mark Greaney,china threatening invade taiwan covert intelligence expert jack ryan jr comes aid father’s presidential administration ryan’s agency campus discovered,threat vector china threatening invade taiwan covert intelligence expert jack ryan jr comes aid father’s presidential administration ryan’s agency campus discovered,9780399160455
the blood gospel,James Rollins and Rebecca Cantrell,hunt truth shadowy ancient order book supposed written christ’s hand first book series order sanguines,the blood gospel hunt truth shadowy ancient order book supposed written christ’s hand first book series order sanguines,9780061991042
empire and honor,W E B Griffin and William E Butterworth IV,oss agent’s plan help german intelligence counterparts reach argentina encounters trouble honor bound novel,empire and honor oss agent’s plan help german intelligence counterparts reach argentina encounters trouble honor bound novel,9780399160660
the aviator's wife,Melanie Benjamin,novel pulls back curtain one america’s extraordinary couples charles lindbergh anne morrow lindbergh,the aviator's wife novel pulls back curtain one america’s extraordinary couples charles lindbergh anne morrow lindbergh,9780345528674
1356,Bernard Cornwell,fourth book grail quest series english french face battle poitiers,1356 fourth book grail quest series english french face battle poitiers,9780061969676
total frat move,W R Bolen and the creators of TotalFratMovecom,fraternity humor,total frat move fraternity humor,9781455515035
america again,Stephen Colbert and others,mock pundit comedy central’s “colbert report” tells bring america back brink,america again mock pundit comedy central’s “colbert report” tells bring america back brink,9780446583978
born to run,Christopher McDougall,secrets distance running mexican indian tribe,born to run secrets distance running mexican indian tribe,9780307279187
dream eyes,Jayne Ann Krentz,psychic counselor returning small oregon town mentor’s suspicious death drawn psychic investigator disturbing power dark legacy novel,dream eyes psychic counselor returning small oregon town mentor’s suspicious death drawn psychic investigator disturbing power dark legacy novel,9780399158957
me before you,Jojo Moyes,young woman barely farther afield english village finds caring wealthy embittered quadriplegic,me before you young woman barely farther afield english village finds caring wealthy embittered quadriplegic,9780670026609
